movie_id,cast_data,crew_data
2454,Ben Barnes|Prince Caspian|0~~William Moseley|Peter Pevensie|1~~Anna Popplewell|Susan Pevensie|2~~Skandar Keynes|Edmund Pevensie|3~~Georgie Henley|Lucy Pevensie|4~~Sergio Castellitto|King Miraz|5~~Alicia Borrachero|Queen Prunaprismia|6~~Peter Dinklage|Trumpkin|7~~Warwick Davis|Nikabrik|8~~Vincent Grass|Doktor Cornelius|9~~Pierfrancesco Favino|Lord Glozell|10~~Damián Alcázar|Lord Sopespian|11~~Simón Andreu|Lord Scythley|12~~Predrag Bjelac|Lord Donnon|13~~Shane Rangi|Asterius|14~~Cornell John|Glenstorm|15~~Liam Neeson|Aslan (voice)|16~~Ken Stott|Trüffeljäger|17~~Tilda Swinton|White Witch|18~~Eddie Izzard|Reepicheep|19~~Klára Issová|Hag|20,Director|Andrew Adamson|Directing~~Producer|Mark Johnson|Production~~Producer|Andrew Adamson|Production~~Producer|Philip Steuer|Production~~Executive Producer|Perry Moore|Production~~Screenplay|Andrew Adamson|Writing~~Screenplay|Christopher Markus|Writing~~Screenplay|Stephen McFeely|Writing~~Director of Photography|Karl Walter Lindenlaub|Camera~~Original Music Composer|Harry Gregson-Williams|Sound~~Editor|Sim Evan-Jones|Editing~~Editor|Josh Campbell|Editing~~Production Design|Roger Ford|Art~~Costume Design|Isis Mussenden|Costume & Make-Up~~Casting|Liz Mullane|Production~~Casting|Gail Stevens|Production~~Casting|Pippa Hall|Production~~Art Direction|Jules Cook|Art~~Art Direction|Stuart Kearns|Art
1865,,Director|Rob Marshall|Directing~~Producer|Jerry Bruckheimer|Production~~Executive Producer|Terry Rossio|Production~~Executive Producer|Mike Stenson|Production~~Executive Producer|Chad Oman|Production~~Screenplay|Ted Elliott|Writing~~Screenplay|Terry Rossio|Writing~~Director of Photography|Dariusz Wolski|Camera~~Original Music Composer|Hans Zimmer|Sound~~Editor|David Brenner|Editing~~Editor|Wyatt Smith|Editing~~Production Design|John Myhre|Art~~Costume Design|Penny Rose|Costume & Make-Up~~Sound Re-Recording Mixer|Christopher Boyes|Sound~~Music Supervisor|Bob Badami|Sound~~Supervising Sound Editor|Shannon Mills|Sound~~Sound Effects Editor|Dee Selby|Sound~~Set Decoration|Gordon Sim|Art
41154,,Director|Barry Sonnenfeld|Directing~~Producer|Walter F. Parkes|Production~~Producer|Laurie MacDonald|Production~~Executive Producer|Steven Spielberg|Production~~Executive Producer|G. Mac Brown|Production~~Screenplay|Etan Cohen|Writing~~Director of Photography|Bill Pope|Camera~~Original Music Composer|Danny Elfman|Sound~~Editor|Wayne Wahrman|Editing~~Editor|Don Zimmerman|Editing~~Production Design|Bo Welch|Art~~Costume Design|Mary E. Vogt|Costume & Make-Up~~Casting|Ellen Chenoweth|Production~~Art Direction|Luke Freeborn|Art~~Writer|Lowell Cunningham|Writing~~Supervising Art Director|W. Steven Graham|Art~~Set Decoration|Susan Bode|Art~~Supervising Art Director|Maya Shimoguchi|Art~~VFX Artist|Hugo Dominguez|Visual Effects~~Camera Technician|Daniel Erickson|Camera
122917,,Director|Peter Jackson|Directing~~Producer|Peter Jackson|Production~~Producer|Fran Walsh|Production~~Producer|Carolynne Cunningham|Production~~Executive Producer|Carolyn Blackwood|Production~~Director of Photography|Andrew Lesnie|Camera~~Original Music Composer|Howard Shore|Sound~~Editor|Jabez Olssen|Editing~~Production Design|Dan Hennah|Art~~Costume Design|Richard Taylor|Costume & Make-Up~~Costume Design|Ann Maskrey|Costume & Make-Up~~Costume Design|Bob Buck|Costume & Make-Up~~Visual Effects|Hugo Dominguez|Visual Effects~~Casting|Victoria Burrows|Production~~Casting|John Hubbard|Production~~Casting|Liz Mullane|Production~~Art Direction|Andy McLaren|Art
1930,,Director|Marc Webb|Directing~~Producer|Laura Ziskin|Production~~Producer|Avi Arad|Production~~Producer|Matt Tolmach|Production~~Executive Producer|Stan Lee|Production~~Executive Producer|Kevin Feige|Production~~Executive Producer|Michael Grillo|Production~~Screenplay|Alvin Sargent|Writing~~Screenplay|Steve Kloves|Writing~~Screenplay|James Vanderbilt|Writing~~Story|James Vanderbilt|Writing~~Director of Photography|John Schwartzman|Camera~~Original Music Composer|James Horner|Sound~~Editor|Pietro Scalia|Editing~~Editor|Alan Edward Bell|Editing~~Production Design|J. Michael Riva|Art~~Costume Design|Kym Barrett|Costume & Make-Up~~Visual Effects|Earl A. Hibbert|Visual Effects~~Visual Effects|VFx Star|Visual Effects~~Visual Effects|Jatinder Singh Manhas|Visual Effects
20662,,Director|Ridley Scott|Directing~~Producer|Brian Grazer|Production~~Producer|Ridley Scott|Production~~Producer|Russell Crowe|Production~~Screenplay|Brian Helgeland|Writing~~Director of Photography|John Mathieson|Camera~~Original Music Composer|Marc Streitenfeld|Sound~~Editor|Pietro Scalia|Editing~~Production Design|Arthur Max|Art~~Costume Design|Janty Yates|Costume & Make-Up~~Casting|Jina Jay|Production~~Still Photographer|David Appleby|Camera~~Set Decoration|Sonja Klaus|Art~~Script Supervisor|Elizabeth West|Directing~~Music Editor|Del Spiva|Sound~~Art Department Coordinator|Katie Gabriel|Art~~Music Editor|Joseph Bonn|Sound~~Art Department Coordinator|Heather Noble|Art
57158,,Director|Peter Jackson|Directing~~Producer|Peter Jackson|Production~~Producer|Fran Walsh|Production~~Producer|Carolynne Cunningham|Production~~Executive Producer|Callum Greene|Production~~Executive Producer|Toby Emmerich|Production~~Executive Producer|Ken Kamins|Production~~Screenplay|Peter Jackson|Writing~~Screenplay|Fran Walsh|Writing~~Screenplay|Philippa Boyens|Writing~~Director of Photography|Andrew Lesnie|Camera~~Original Music Composer|Howard Shore|Sound~~Editor|Jabez Olssen|Editing~~Production Design|Dan Hennah|Art~~Costume Design|Richard Taylor|Costume & Make-Up~~Costume Design|Ann Maskrey|Costume & Make-Up
2268,Dakota Blue Richards|Lyra Belacqua|0~~Nicole Kidman|Marisa Coulter|1~~Daniel Craig|Lord Asriel|2~~Sam Elliott|Lee Scoresby|3~~Eva Green|Serafina Pekkala|4~~Freddie Highmore|Pantalaimon (voice)|5~~Ian McKellen|Iorek Byrnison (voice)|6~~Ben Walker|Roger Parslow|7~~Ian McShane|Ragnar Sturlusson (voice)|8~~Kristin Scott Thomas|Stelmania (voice)|9~~Kathy Bates|Hester (voice)|10~~Jim Carter|John Faa|11~~Tom Courtenay|Farder Coram|12~~Christopher Lee|First High Councilor|13~~Simon McBurney|Fra Pavel|14~~Jack Shepherd|Master|15~~Magda Szubanski|Mrs. Lonsdale|16~~Derek Jacobi|Magisterial Emissary|17~~Clare Higgins|Ma Coster|18~~Charlie Rowe|Billy Costa|19~~Steven Loton|Tony Costa|20~~Michael Antoniou|Kerim Costa|21~~Mark Mottram|Jaxer Costa|22~~Hattie Morahan|Sister Clara|23~~Jason Watkins|Bolvangar Official|24,Director|Chris Weitz|Directing~~Producer|Bill Carraro|Production~~Producer|Deborah Forte|Production~~Executive Producer|Mark Ordesky|Production~~Executive Producer|Michael Lynne|Production~~Executive Producer|Paul Weitz|Production~~Screenplay|Chris Weitz|Writing~~Director of Photography|Henry Braham|Camera~~Original Music Composer|Alexandre Desplat|Sound~~Editor|Anne V. Coates|Editing~~Production Design|Dennis Gassner|Art~~Costume Design|Ruth Myers|Costume & Make-Up~~Casting|Fiona Weir|Production~~Casting|Lucy Bevan|Production~~Art Direction|Richard L. Johnson|Art~~Art Direction|Andy Nicholson|Art
254,,Director|Peter Jackson|Directing~~Producer|Peter Jackson|Production~~Producer|Fran Walsh|Production~~Producer|Jan Blenkin|Production~~Director of Photography|Andrew Lesnie|Camera~~Original Music Composer|James Newton Howard|Sound~~Original Music Composer|David Long|Sound~~Original Music Composer|Mel Wesson|Sound~~Editor|Jamie Selkirk|Editing~~Production Design|Grant Major|Art~~Costume Design|Terry Ryan|Costume & Make-Up~~Visual Effects|Hugo Dominguez|Visual Effects~~Casting|Victoria Burrows|Production~~Casting|John Hubbard|Production~~Casting|Liz Mullane|Production~~Art Direction|Joe Bleakley|Art~~Art Direction|Simon Bright|Art~~Author|Peter Jackson|Writing
37724,,Director|Sam Mendes|Directing~~Producer|Barbara Broccoli|Production~~Producer|Michael G. Wilson|Production~~Executive Producer|Callum McDougall|Production~~Director of Photography|Roger Deakins|Camera~~Original Music Composer|Thomas Newman|Sound~~Editor|Stuart Baird|Editing~~Production Design|Dennis Gassner|Art~~Costume Design|Jany Temime|Costume & Make-Up~~Casting|Debbie McWilliams|Production~~Art Direction|Paul Inglis|Art~~Art Direction|James Foster|Art~~Art Direction|Jason Knox-Johnston|Art~~Set Decoration|Anna Pinnock|Art~~Writer|John Logan|Writing~~Characters|Ian Fleming|Writing~~Writer|Robert Wade|Writing
12155,,Director|Tim Burton|Directing~~Producer|Jennifer Todd|Production~~Producer|Suzanne Todd|Production~~Producer|Richard D. Zanuck|Production~~Executive Producer|Chris Lebenzon|Production~~Executive Producer|Peter M. Tobyansen|Production~~Screenplay|Linda Woolverton|Writing~~Director of Photography|Dariusz Wolski|Camera~~Original Music Composer|Danny Elfman|Sound~~Editor|Chris Lebenzon|Editing~~Costume Design|Colleen Atwood|Costume & Make-Up~~Art Direction|Seth Engstrom|Art~~Line Producer|Mary Richards|Production~~Novel|Lewis Carroll|Writing~~Storyboard|Michael Schlingmann|Writing~~Lighting Artist|Michael Leung|Lighting
36668,,Director|Brett Ratner|Directing~~Producer|Ralph Winter|Production~~Producer|Lauren Shuler Donner|Production~~Producer|Avi Arad|Production~~Executive Producer|Stan Lee|Production~~Executive Producer|Kevin Feige|Production~~Executive Producer|John Palermo|Production~~Screenplay|Simon Kinberg|Writing~~Screenplay|Zak Penn|Writing~~Director of Photography|Dante Spinotti|Camera~~Original Music Composer|John Powell|Sound~~Editor|Mark Goldblatt|Editing~~Editor|Mark Helfrich|Editing~~Editor|Julia Wong|Editing~~Production Design|Ed Verreaux|Art~~Costume Design|Judianna Makovsky|Costume & Make-Up~~Costume Design|Lisa Tomczeszyn|Costume & Make-Up~~Casting|Richard Pagano|Production~~Casting|Heike Brandstatter|Production~~Casting|Coreen Mayrs|Production
62211,,Director|Dan Scanlon|Directing~~Producer|Kori Rae|Production~~Executive Producer|Andrew Stanton|Production~~Executive Producer|Lee Unkrich|Production~~Executive Producer|John Lasseter|Production~~Screenplay|Daniel Gerson|Writing~~Screenplay|Robert L. Baird|Writing~~Screenplay|Dan Scanlon|Writing~~Original Music Composer|Randy Newman|Sound~~Production Design|Ricky Nierva|Art~~Casting|Kevin Reher|Production~~Casting|Natalie Lyon|Production
8373,"Shia LaBeouf|Sam Witwicky|0~~Megan Fox|Mikaela Banes|1~~Josh Duhamel|Captain Lennox|2~~Rainn Wilson|College Professor|3~~Tyrese Gibson|USAF Tech Sergeant Epps|4~~John Turturro|Agent Simmons|5~~Kevin Dunn|Ron Witwicky|6~~Julie White|Judy Witwicky|7~~Ramón Rodríguez|Leo Spitz|8~~Isabel Lucas|Alice|9~~Glenn Morshower|General Morshower|10~~Hugo Weaving|Megatron (voice)|11~~Marc Evan Jackson|Commander, US Central Command|12~~Peter Cullen|Optimus Prime (voice)|13~~Arnold Chun|Diego Garcia Soldier|14~~Katie Lowes|April the Resident Assistant|15~~Mark Ryan|Jetfire (voice)|16~~Reno Wilson|Mudflap (voice)|17~~Jess Harnell|Ironhide (voice)|18~~Robert Foxworth|Ratchet (voice)|19~~André Sogliuzzo|Sideswipe (voice)|20~~Grey Griffin|Arcee (voice)|21~~Tony Todd|Fallen (voice)|22~~Charlie Adler|Starscream (voice)|23~~Frank Welker||24",Director|Michael Bay|Directing~~Producer|Don Murphy|Production~~Producer|Ian Bryce|Production~~Producer|Lorenzo di Bonaventura|Production~~Executive Producer|Steven Spielberg|Production~~Executive Producer|Michael Bay|Production~~Executive Producer|Brian Goldner|Production~~Screenplay|Ehren Kruger|Writing~~Director of Photography|Ben Seresin|Camera~~Original Music Composer|Steve Jablonsky|Sound~~Editor|Paul Rubell|Editing~~Editor|Roger Barton|Editing~~Editor|Joel Negron|Editing~~Production Design|Nigel Phelps|Art~~Costume Design|Deborah Lynn Scott|Costume & Make-Up~~Casting|Denise Chamian|Production~~Associate Producer|K.C. Hodenfield|Production
91314,,Director|Michael Bay|Directing~~Producer|Don Murphy|Production~~Producer|Ian Bryce|Production~~Producer|Lorenzo di Bonaventura|Production~~Executive Producer|Steven Spielberg|Production~~Executive Producer|Michael Bay|Production~~Executive Producer|Brian Goldner|Production~~Screenplay|Ehren Kruger|Writing~~Director of Photography|Amir Mokri|Camera~~Original Music Composer|Steve Jablonsky|Sound~~Editor|William Goldenberg|Editing~~Editor|Paul Rubell|Editing~~Editor|Roger Barton|Editing~~Production Design|Jeffrey Beecroft|Art~~Costume Design|Marie-Sylvie Deveau|Costume & Make-Up~~Casting|Denise Chamian|Production~~Casting|Jennifer Rudnicke|Production~~Casting|Mickie Paskal|Production
68728,,Director|Sam Raimi|Directing~~Producer|Joe Roth|Production~~Executive Producer|Philip Steuer|Production~~Executive Producer|Grant Curtis|Production~~Executive Producer|Joshua Donen|Production~~Screenplay|Mitchell Kapner|Writing~~Screenplay|David Lindsay-Abaire|Writing~~Director of Photography|Peter Deming|Camera~~Editor|Bob Murawski|Editing~~Production Design|Robert Stromberg|Art~~Costume Design|Gary Jones|Costume & Make-Up~~Visual Effects|VFx Star|Visual Effects~~Visual Effects|Jatinder Singh Manhas|Visual Effects~~Casting|John Papsidera|Production~~Art Direction|Domenic Silvestri|Art~~Art Direction|Meghan C. Rogers|Art~~Art Direction|Stefan Dechant|Art
102382,,Director|Marc Webb|Directing~~Producer|Avi Arad|Production~~Producer|Matt Tolmach|Production~~Screenplay|Alex Kurtzman|Writing~~Screenplay|Roberto Orci|Writing~~Screenplay|Jeff Pinkner|Writing~~Story|Alex Kurtzman|Writing~~Story|Roberto Orci|Writing~~Story|James Vanderbilt|Writing~~Director of Photography|Daniel Mindel|Camera~~Original Music Composer|Hans Zimmer|Sound~~Original Music Composer|Johnny Marr|Sound~~Original Music Composer|Pharrell Williams|Sound~~Editor|Pietro Scalia|Editing~~Production Design|Mark Friedberg|Art~~Costume Design|Deborah Lynn Scott|Costume & Make-Up~~Casting|Kathleen Chopin|Production~~Art Direction|Kim Jennings|Art~~Characters|Stan Lee|Writing
20526,,Director|Joseph Kosinski|Directing~~Producer|Steven Lisberger|Production~~Producer|Jeffrey Silver|Production~~Producer|Sean Bailey|Production~~Executive Producer|Donald Kushner|Production~~Screenplay|Steven Lisberger|Writing~~Screenplay|Richard Jefferies|Writing~~Screenplay|Edward Kitsis|Writing~~Director of Photography|Claudio Miranda|Camera~~Production Design|Darren Gilford|Art~~Costume Design|Michael Wilkinson|Costume & Make-Up~~Casting|Sarah Finn|Production~~Casting|Heike Brandstatter|Production~~Casting|Coreen Mayrs|Production~~Supervising Art Director|Kevin Ishioka|Art~~Set Decoration|Lin MacDonald|Art~~Supervising Art Director|Mark W. Mansbridge|Art~~Co-Producer|Steve Gaub|Production~~Music|Daft Punk|Sound
49013,,Director|John Lasseter|Directing~~Director|Brad Lewis|Directing~~Producer|Denise Ream|Production~~Screenplay|Ben Queen|Writing~~Director of Photography|Jeremy Lasky|Camera~~Director of Photography|Sharon Calahan|Camera~~Original Music Composer|Michael Giacchino|Sound~~Editor|Stephen Schaffer|Editing~~Production Design|Harley Jessup|Art~~Casting|Kevin Reher|Production~~Casting|Natalie Lyon|Production~~Art Direction|Nathaniel McLaughlin|Art~~Art Direction|Jay Shuster|Art~~Art Direction|Bert Berry|Art~~Original Story|John Lasseter|Writing~~Script Supervisor|Nathan Stanton|Directing~~Sculptor|Jerome Ranft|Art~~Supervising Animator|Shawn Krause|Crew~~Animation Director|Victor Navone|Visual Effects~~Supervising Animator|Dave Mullins|Crew
